epoch,train_loss,val_loss,train_acc_exit0,train_acc_exit1,train_acc_exit2,train_acc_exit3,val_acc_exit0,val_acc_exit1,val_acc_exit2,val_acc_exit3,lr
170,2.2650,5.0734,68.22,83.89,95.28,95.44,60.40,68.86,70.04,69.92,0.005450
171,2.2274,5.0023,68.47,84.30,95.65,95.77,60.22,69.54,70.96,70.64,0.005099
172,2.1902,5.1466,68.65,84.73,96.10,96.23,59.56,68.84,70.06,69.98,0.004759
173,2.1604,4.8873,69.04,84.86,96.37,96.42,60.14,70.68,70.94,70.94,0.004430
174,2.1310,5.1098,69.38,85.04,96.54,96.69,59.34,69.34,71.00,70.82,0.004112
175,2.1061,5.0151,69.10,85.46,96.86,97.02,60.96,70.26,71.16,70.70,0.003806
176,2.0703,4.9955,69.51,85.76,97.26,97.41,61.04,69.92,71.36,71.32,0.003511
177,2.0364,4.8821,69.72,86.17,97.48,97.61,61.76,70.62,72.12,72.22,0.003228
178,2.0080,4.8831,69.64,86.59,97.76,97.86,61.76,70.32,72.34,72.32,0.002956
179,1.9901,4.8903,70.00,86.60,97.87,97.90,61.66,70.54,71.48,71.50,0.002696
180,1.9648,4.8873,70.22,86.92,98.04,98.17,61.14,71.04,72.50,72.06,0.002447
181,1.9378,4.8255,70.34,87.27,98.25,98.36,61.74,70.90,72.20,72.10,0.002210
182,1.9168,4.8487,70.49,87.70,98.41,98.44,62.48,71.24,72.06,71.98,0.001985
183,1.9027,4.8494,70.85,87.74,98.57,98.61,62.84,70.78,71.80,71.96,0.001772
184,1.8811,4.8017,70.81,88.02,98.65,98.78,63.22,71.72,72.72,72.38,0.001571
185,1.8698,4.7917,70.92,88.19,98.73,98.85,63.54,71.48,72.84,72.48,0.001382
186,1.8571,4.7564,71.17,88.32,98.82,98.85,63.26,71.34,72.72,72.30,0.001204
187,1.8375,4.7725,71.37,88.46,98.95,99.03,63.64,71.50,72.38,72.42,0.001039
188,1.8206,4.7681,71.39,88.72,99.07,99.12,63.44,71.88,72.50,72.08,0.000886
